0,5
1,5
2,1
3,4
4,1
5,5
6,3
7,1
8,2
9,3
10,1
11,2
12,3
13,4
14,3
15,5
16,3
17,1
18,3
19,3
20,5
21,4
22,1
23,5
24,4
25,5
26,5
27,4
28,2
29,1
30,5
31,3
32,2
33,1
34,5
35,4
36,3
37,2
38,2
39,1
40,2
41,1
42,1
43,2
44,2
45,5
46,3
47,3
48,2
49,3
50,3
51,5
52,5
53,5
54,2
55,2
56,4
57,1
58,5
59,2
60,4
61,4
62,5
63,1
64,1
65,1
66,3
67,2
68,2
69,5
70,1
71,5
72,1
73,4
74,1
75,3
76,1
77,1
78,2
79,2
80,4
81,4
82,3
83,3
84,4
85,2
86,2
87,1
88,2
89,3
90,2
91,1
92,2
93,1
94,3
95,1
96,4
97,3
98,3
99,1
100,5
