2019-8-28,2
2019-5-17,1
2019-7-1,0
2019-12-25,2
2019-5-21,3
2019-5-20,2
2019-1-24,4
2019-12-8,2
2019-8-15,4
2019-7-6,7
2019-5-7,4
2019-5-11,3
2019-9-25,1
2019-8-20,2
2019-10-11,1
2019-9-28,2
2019-11-7,4
2019-8-26,4
2019-12-12,1
2019-10-8,3
2019-3-24,4
2019-5-26,6
2019-10-27,3
2019-3-2,1
2019-4-20,2
2019-10-7,0
2019-12-11,2
2019-5-14,2
2019-7-22,2
2019-11-5,4
2019-5-16,1
2019-4-16,6
2019-7-26,3
2019-7-9,2
2019-7-12,2
2019-10-23,5
2019-3-23,4
2019-8-14,3
2019-6-1,2
2019-1-12,4
2019-8-19,5
2019-1-14,5
2019-4-22,3
2019-6-28,4
2019-8-18,2
2019-8-8,3
2019-7-28,0
2019-9-16,0
2019-5-30,4
2019-2-24,1
2019-1-31,2
2019-10-1,2
2019-8-24,1
2019-6-17,1
2019-12-13,2
2019-3-10,1
2019-1-10,1
2019-2-12,1
2019-8-1,1
2019-10-19,1
2019-12-26,2
2019-12-21,3
2019-12-9,1
2019-10-20,2
2019-7-27,7
2019-2-14,4
2019-4-3,4
2019-9-18,2
2019-1-15,2
2019-5-5,3
2019-2-27,3
2019-12-5,2
2019-11-30,1
2019-9-24,3
2019-1-23,1
2019-5-27,4
2019-9-1,3
2019-9-8,1
2019-3-6,5
2019-7-10,4
2019-4-28,1
2019-8-23,3
2019-2-4,3
2019-8-13,3
2019-4-7,2
2019-11-16,4
