0,1
1,5
2,3
3,3
4,2
5,5
6,2
7,2
8,2
9,1
10,4
11,3
12,2
13,5
14,5
15,2
16,3
17,2
18,1
19,5
20,3
21,1
22,2
23,3
24,3
25,4
26,2
27,3
28,1
29,5
30,3
31,1
32,2
33,2
34,2
35,4
36,2
37,2
38,4
39,5
40,3
41,4
42,1
43,5
44,5
45,2
46,2
47,5
48,4
49,4
50,1
51,5
52,5
53,4
54,1
55,2
56,3
57,3
58,2
59,5
60,3
61,1
62,5
63,2
64,5
65,5
66,5
67,3
68,1
69,5
70,5
71,3
72,4
73,3
74,2
75,1
76,2
77,2
78,2
79,5
80,2
81,3
82,1
83,2
84,2
85,4
86,2
87,2
88,1
89,5
90,2
91,4
92,2
93,3
94,1
95,1
96,1
97,3
98,3
99,2
