0,76,14,2,0
1,41,5,0,0
2,39,68,2,2
3,39,70,4,3
4,8,60,1,1
5,99,34,3,2
6,6,42,3,2
7,69,39,2,3
8,63,56,1,3
9,59,86,5,0
10,84,50,0,0
11,59,55,3,2
12,43,66,2,5
13,83,84,1,5
14,24,17,4,3
15,52,33,1,3
16,15,7,5,3
17,61,98,0,3
18,3,71,5,3
19,49,29,1,2
20,16,46,5,3
21,48,71,4,1
22,58,48,4,0
23,87,4,1,2
24,54,56,5,0
25,31,82,5,4
26,46,10,4,5
27,36,66,2,0
28,15,53,2,0
29,15,18,2,1
30,78,47,4,3
31,44,68,0,2
32,98,5,2,4
33,81,40,1,2
34,46,14,5,0
35,14,28,5,4
36,27,32,1,2
37,86,90,2,0
38,99,26,2,4
39,81,42,2,0
40,97,1,5,1
41,5,15,2,4
42,45,37,2,2
43,50,83,5,4
44,33,76,4,1
45,7,100,3,1
46,70,65,5,1
47,0,85,2,3
48,61,27,3,5
49,27,75,4,4
50,74,23,1,1
51,34,43,4,2
52,22,28,2,1
53,83,48,5,1
54,8,57,1,0
55,70,45,1,5
56,34,96,1,2
57,64,0,5,0
58,60,45,3,1
59,7,43,4,5
60,87,44,4,5
61,47,59,0,2
62,55,34,1,4
63,24,69,5,1
64,38,55,5,3
65,35,84,5,1
66,40,37,5,3
67,20,31,1,0
68,12,78,4,1
69,39,37,4,0
70,83,65,1,3
71,0,50,0,0
72,61,15,3,2
73,90,79,0,1
74,70,23,1,2
75,50,23,5,1
76,64,99,0,5
77,61,23,4,1
78,76,43,2,5
79,87,54,1,0
80,7,74,4,3
81,56,10,1,5
82,96,45,3,2
83,70,55,1,1
84,6,73,2,3
85,4,92,4,2
86,81,22,4,4
87,91,68,3,2
88,27,17,2,1
89,45,81,3,3
90,46,60,2,1
91,45,61,4,4
92,56,40,5,2
93,65,78,2,3
94,70,36,3,1
95,75,59,3,0
96,29,6,3,3
97,13,78,4,5
98,69,97,4,5
99,3,36,1,4
100,58,26,3,2
101,66,24,3,0
102,56,77,1,3
103,53,28,0,4
104,96,96,2,2
105,61,99,0,3
106,63,22,3,2
107,21,69,0,3
108,11,13,5,1
