0,2021-5-30,4,5,7
1,2023-6-1,1,0,5
2,2022-7-9,1,1,10
3,2021-2-15,5,10,10
4,2023-5-12,5,8,1
5,2022-4-30,4,17,10
6,2021-1-13,1,16,9
7,2022-12-23,1,12,9
8,2022-7-8,2,8,18
9,2023-11-29,1,7,0
10,2023-4-30,3,8,4
11,2021-4-4,4,19,3
12,2021-9-23,5,11,8
13,2023-7-14,5,13,7
14,2021-10-20,4,11,14
15,2021-1-12,4,5,13
16,2023-9-16,4,4,7
17,2021-2-30,2,0,17
18,2021-1-5,5,20,3
19,2023-10-9,2,12,10
20,2021-3-24,1,6,13
21,2021-8-16,4,9,18
22,2022-7-29,4,12,15
23,2021-8-26,1,15,8
24,2021-2-30,5,8,1
25,2021-1-14,1,6,15
26,2021-11-6,3,20,1
27,2022-1-12,5,7,0
28,2022-2-22,2,17,11
29,2022-5-28,1,5,12
30,2022-6-12,4,13,5
31,2021-7-17,2,15,4
32,2022-2-4,1,6,1
33,2021-7-17,5,16,9
34,2023-1-11,2,15,3
35,2022-11-9,3,5,4
36,2023-2-27,3,19,4
37,2022-9-7,2,5,20
38,2023-2-30,2,15,6
39,2023-10-1,2,7,7
40,2022-2-8,1,7,11
41,2021-7-20,1,18,14
42,2021-5-3,5,15,12
43,2023-1-30,5,18,8
44,2022-11-26,4,16,9
45,2022-8-25,5,2,12
46,2021-7-5,3,7,0
47,2022-2-14,1,0,15
48,2022-9-30,1,13,20
49,2022-9-14,4,5,8
50,2021-1-3,5,3,11
51,2021-5-19,4,20,3
52,2023-12-31,2,4,15
53,2023-10-26,5,10,13
54,2023-7-26,4,19,15
55,2023-9-16,2,12,7
56,2023-1-5,3,1,12
57,2022-3-9,4,5,4
58,2023-3-11,2,8,1
59,2022-10-5,1,2,7
60,2022-9-2,2,9,8
61,2023-7-23,5,10,5
62,2023-10-1,2,17,3
63,2023-1-23,3,16,9
64,2023-4-2,4,7,16
65,2021-3-20,2,4,10
66,2021-11-2,3,3,15
67,2021-7-15,4,7,20
68,2022-8-8,1,9,7
69,2022-6-29,3,17,0
70,2021-2-10,1,1,10
71,2022-5-11,4,7,11
72,2023-3-8,1,8,8
73,2021-12-21,2,12,9
74,2023-11-13,3,14,7
75,2021-11-17,4,2,5
76,2023-1-2,1,17,7
77,2023-6-25,1,6,13
78,2021-5-30,5,4,18
79,2023-5-23,2,6,15
80,2021-3-2,3,5,18
81,2022-11-1,2,7,9
82,2021-8-4,5,10,16
83,2021-12-31,5,8,16
84,2022-12-2,1,12,14
85,2022-6-5,2,20,15
86,2022-4-18,3,12,3
87,2022-8-8,4,14,3
88,2021-9-27,3,18,3
89,2022-12-24,3,20,6
90,2023-5-7,1,5,3
91,2023-11-9,4,11,5
92,2022-7-14,3,11,10
93,2021-6-8,2,13,4
94,2021-6-8,1,2,14
95,2023-11-13,5,17,20
96,2021-9-8,2,3,13
97,2023-4-25,5,7,20
98,2023-11-22,2,9,12
99,2021-4-21,1,1,17
100,2021-5-31,3,19,12
101,2022-12-17,4,12,12
102,2023-12-23,4,17,11
103,2023-8-28,2,10,13
104,2023-10-20,3,10,14
105,2022-12-24,3,17,16
106,2023-9-31,3,15,7
107,2021-1-30,4,2,15
108,2021-3-5,2,9,14
109,2022-1-29,5,12,9
110,2022-4-17,4,20,14
111,2023-4-13,1,18,4
112,2023-8-15,5,11,5
113,2023-6-13,4,3,0
114,2021-4-21,2,14,9
115,2023-9-10,1,15,2
116,2023-11-15,3,15,17
117,2022-9-1,1,2,12
118,2023-6-6,2,14,1
119,2022-1-25,2,2,4
120,2021-12-19,3,6,10
121,2022-3-18,2,10,17
122,2022-1-14,1,8,12
123,2023-1-15,4,16,16
124,2023-7-13,1,0,13
125,2022-9-16,3,2,0
126,2021-2-22,2,16,15
127,2023-2-27,4,6,20
128,2022-5-2,1,4,8
129,2023-6-27,1,7,7
130,2023-4-6,4,17,11
131,2021-10-22,5,5,19
132,2023-2-25,2,8,1
133,2022-8-8,2,1,9
134,2023-4-19,5,6,12
135,2022-2-30,5,2,17
136,2023-1-1,5,20,15
137,2021-6-24,5,20,15
138,2021-6-17,1,8,18
139,2022-1-2,4,12,12
140,2023-9-29,5,20,20
141,2021-10-30,2,18,3
142,2022-2-28,3,10,19
143,2021-2-7,4,8,3
144,2022-7-11,2,19,0
145,2021-2-5,1,0,12
146,2023-5-9,5,19,4
147,2022-7-14,3,15,5
148,2022-8-12,3,7,5
149,2021-2-15,2,7,2
150,2021-2-3,4,17,19
151,2022-10-13,1,1,20
152,2021-12-27,4,9,20
153,2022-8-5,1,17,16
154,2023-5-25,3,15,1
155,2022-1-22,4,3,19
156,2023-1-15,1,4,3
157,2022-5-7,5,18,11
158,2023-11-31,1,11,5
159,2021-3-29,3,13,3
160,2022-9-9,1,1,17
161,2021-11-12,5,11,2
162,2023-12-13,2,11,1
163,2023-2-18,4,1,4
164,2023-7-9,3,8,9
165,2021-6-22,3,17,7
166,2021-11-25,5,2,9
167,2022-5-21,1,15,4
168,2023-2-25,5,19,8
169,2021-3-25,2,4,1
170,2023-6-1,2,1,16
171,2022-5-5,3,6,0
172,2022-11-14,4,14,10
173,2023-8-30,2,17,18
174,2023-7-22,5,16,1
175,2021-6-23,5,20,0
176,2021-8-16,2,15,1
177,2023-2-3,5,4,0
178,2021-5-30,2,15,7
179,2023-3-19,4,11,13
180,2022-1-28,4,15,12
181,2021-12-11,1,12,17
182,2021-6-31,3,6,12
183,2023-5-2,2,1,15
184,2021-11-28,4,0,3
185,2022-11-2,1,20,6
186,2023-2-11,1,13,20
187,2022-8-15,5,15,18
188,2023-11-3,3,1,2
189,2023-10-31,4,20,8
190,2022-5-26,2,6,6
191,2021-4-28,5,10,3
192,2022-10-15,4,15,11
193,2022-4-21,1,7,2
194,2023-10-8,4,6,3
195,2023-8-25,4,0,9
196,2021-12-3,3,7,12
197,2023-3-5,4,5,18
198,2023-6-27,5,15,9
199,2021-8-10,4,10,1
200,2023-10-23,2,18,10
201,2023-11-20,4,13,18
202,2023-10-30,4,19,14
203,2022-11-28,1,11,2
204,2021-7-31,4,14,13
205,2022-5-15,1,10,5
206,2022-9-25,3,8,8
207,2021-9-14,5,14,18
208,2022-4-10,1,14,9
209,2023-1-17,1,0,16
210,2023-3-17,3,5,10
211,2022-12-10,3,17,16
212,2021-11-13,3,14,18
213,2022-11-7,3,15,6
214,2022-6-11,3,1,2
215,2023-9-26,4,15,6
216,2022-3-1,5,9,17
217,2021-6-31,5,11,12
218,2023-4-23,5,13,7
219,2023-7-23,4,20,10
220,2023-6-5,3,17,10
221,2023-11-21,2,6,10
222,2023-5-1,1,3,18
223,2023-12-5,4,1,4
224,2021-8-4,4,13,20
225,2021-10-27,3,2,3
226,2022-9-3,5,5,2
227,2022-3-2,3,6,7
228,2023-5-26,2,19,3
229,2021-1-21,5,18,2
230,2023-11-14,4,6,12
231,2023-9-22,5,18,18
232,2022-7-16,2,9,15
233,2023-2-27,3,1,9
234,2021-11-14,4,9,3
235,2023-4-15,2,5,15
236,2022-2-15,2,17,20
237,2023-8-9,3,16,2
238,2023-5-26,2,13,1
239,2023-4-20,1,1,7
240,2023-3-24,3,0,20
241,2023-1-5,2,19,8
242,2023-4-11,4,11,14
243,2023-12-9,4,6,0
244,2021-9-26,1,1,12
245,2021-9-19,2,18,9
246,2021-3-9,5,11,7
247,2021-2-1,3,16,9
248,2021-10-23,5,17,7
249,2021-9-12,3,13,3
250,2022-10-7,4,15,14
251,2021-10-11,3,11,3
252,2022-9-31,5,10,1
253,2022-1-22,5,19,2
254,2022-5-6,2,9,16
255,2021-11-9,4,16,4
256,2022-11-9,5,16,11
257,2022-1-29,4,18,16
258,2021-4-4,1,9,0
259,2021-10-2,3,11,6
260,2022-3-31,1,11,1
261,2022-4-19,2,7,14
262,2023-7-18,2,14,5
263,2022-4-9,3,2,4
264,2023-5-1,3,13,14
265,2022-3-20,4,17,18
266,2022-12-14,1,10,1
267,2023-2-4,5,18,14
268,2023-8-2,4,1,13
269,2022-9-22,2,7,5
270,2022-10-15,3,16,9
271,2021-6-18,1,11,12
272,2022-12-22,3,20,5
273,2023-5-6,4,5,2
274,2021-5-11,4,17,3
275,2023-1-22,4,0,14
276,2022-8-31,2,1,12
277,2021-8-30,5,14,14
278,2023-1-28,3,9,11
279,2023-4-5,5,18,17
280,2021-6-5,1,20,18
281,2022-6-28,5,5,5
282,2022-3-22,4,1,16
283,2022-2-1,3,7,2
284,2021-1-30,3,20,17
285,2021-9-30,3,7,14
286,2023-4-12,5,11,14
287,2021-8-2,3,3,10
288,2023-6-7,1,9,13
289,2023-1-17,4,2,2
290,2021-11-31,5,11,11
291,2021-6-12,2,3,3
292,2021-11-21,4,18,5
293,2022-5-4,2,2,16
294,2023-9-25,1,9,16
295,2022-2-8,4,19,1
296,2021-12-23,5,15,16
297,2022-4-27,1,7,3
298,2021-5-5,4,8,0
299,2022-5-10,3,14,10
300,2022-8-23,1,2,6
301,2022-10-4,3,18,17
302,2022-6-12,3,4,7
303,2023-7-12,5,13,7
304,2021-1-24,4,7,17
305,2023-3-24,5,0,10
306,2023-11-29,5,9,1
307,2021-5-31,5,17,18
308,2023-7-6,4,7,13
309,2022-10-12,3,7,1
310,2021-2-28,3,9,3
311,2023-12-26,3,18,20
312,2021-8-4,2,2,13
313,2022-6-26,1,7,7
314,2023-10-20,5,10,9
315,2022-10-30,2,14,18
316,2021-8-24,5,18,15
317,2021-1-1,5,8,20
318,2021-8-4,5,20,15
319,2023-8-12,4,0,0
320,2021-12-20,1,0,18
321,2021-1-31,3,13,10
322,2022-11-8,2,7,12
323,2021-7-15,1,14,10
324,2022-6-26,4,0,20
325,2021-8-22,1,3,5
326,2021-12-2,1,2,1
327,2023-2-31,4,2,11
328,2021-4-31,4,12,11
329,2022-1-9,1,9,16
330,2023-1-23,1,20,10
331,2021-3-24,3,19,8
332,2021-8-29,5,17,0
333,2023-10-11,5,2,16
334,2022-4-1,5,17,6
335,2021-7-17,5,10,13
336,2021-9-22,5,3,1
337,2021-5-19,4,7,3
338,2023-6-6,4,6,17
339,2022-8-2,2,11,10
340,2022-12-23,2,19,7
341,2022-2-18,5,9,4
342,2023-9-17,2,10,5
343,2022-12-2,4,11,14
344,2023-4-6,2,16,13
345,2023-4-4,5,16,18
346,2022-11-26,5,12,7
347,2022-7-24,4,10,9
348,2021-3-22,3,13,7
349,2023-10-28,4,5,18
350,2021-6-15,4,16,7
351,2021-9-22,1,7,9
352,2022-11-27,4,13,15
353,2021-7-25,5,3,16
354,2022-1-22,2,8,15
355,2022-10-3,1,13,15
356,2021-8-26,4,15,3
357,2021-10-19,3,8,8
358,2021-6-6,1,4,8
359,2022-2-8,1,16,4
360,2023-3-18,4,18,6
361,2023-5-21,2,4,16
362,2021-6-25,1,1,16
363,2021-3-29,1,14,7
364,2021-2-7,4,2,16
365,2023-5-28,5,14,1
366,2022-6-17,4,20,16
367,2022-2-2,3,6,19
368,2022-5-3,4,6,17
369,2023-11-12,4,19,5
370,2023-4-13,3,11,9
371,2021-12-7,4,8,9
372,2021-6-14,3,3,2
373,2023-12-25,5,10,19
374,2023-5-7,2,1,15
375,2021-9-25,1,9,2
376,2022-10-22,4,14,17
377,2021-3-8,5,2,10
378,2022-11-26,3,9,13
